Word,Frequency,Weight
abstracts,2,0.500000
achieved,1,0.250000
active,1,0.250000
activities,2,0.500000
addition,1,0.250000
annotated,1,0.250000
applied,1,0.250000
attend,1,0.250000
bibliographies,1,0.250000
class,1,0.250000
colleagues,1,0.250000
conferences,1,0.250000
critical,1,0.250000
critically,1,0.250000
expose,1,0.250000
external,1,0.250000
feedback,1,0.250000
hoped,1,0.250000
include,1,0.250000
involve,1,0.250000
journals,1,0.250000
learning,1,0.250000
literature,1,0.250000
objectives,1,0.250000
outlines,1,0.250000
papers,1,0.250000
preparation,1,0.250000
presentation,2,0.500000
presentations,1,0.250000
project,1,0.250000
provide,1,0.250000
refine,1,0.250000
regular,1,0.250000
reports,1,0.250000
required,1,0.250000
research,2,0.500000
review,1,0.250000
reviewing,1,0.250000
reviews,1,0.250000
scholarly,1,0.250000
sciences,1,0.250000
semester,1,0.250000
seminars,1,0.250000
sessions,1,0.250000
skills,1,0.250000
students,4,1.000000
submit,1,0.250000
thesis,1,0.250000
total,1,0.250000
